cod_tienda,sales_surface_sqmeters,ventas_valor_per_store,Channel,revenue_per_sqmeter,cluster_labels,cluster_id
61,700,104120.51,Supermarkets,148.7435857143,cluster_1,1
128,300,164926.85,Supermarkets,549.7561666667,cluster_1,1
15,1600,214584.37,Supermarkets,134.11523125,cluster_1,1
290,700,241716.97,Supermarkets,345.3099571429,cluster_1,1
288,1600,87388.09,Supermarkets,54.61755625,cluster_1,1
134,700,110273.39,Supermarkets,157.5334142857,cluster_1,1
255,700,100514.75,Supermarkets,143.5925,cluster_1,1
44,1600,278598.07,Supermarkets,174.12379375,cluster_1,1
36,700,126405.12,Supermarkets,180.5787428571,cluster_1,1
149,10400,2968311.13,Hipermarkets,285.4145317308,cluster_0,0
207,11400,2279762.07,Hipermarkets,199.9791289474,cluster_0,0
121,8900,2239188.18,Hipermarkets,251.5941775281,cluster_0,0
228,13300,5348471.18,Hipermarkets,402.1406902256,cluster_0,0
182,10500,2520507.75,Hipermarkets,240.0483571429,cluster_0,0
19,1900,850665.51,Supermarkets,447.7186894737,cluster_1,1
144,2500,490155.32,Supermarkets,196.062128,cluster_1,1
4,2200,629539.99,Supermarkets,286.1545409091,cluster_1,1
280,11100,1203169.65,Hipermarkets,108.3936621622,cluster_0,0
250,11300,2342114.08,Hipermarkets,207.2667327434,cluster_0,0
55,500,69305.16,Supermarkets,138.61032,cluster_1,1
87,1000,236622.78,Supermarkets,236.62278,cluster_1,1
164,1200,309489.2,Supermarkets,257.9076666667,cluster_1,1
57,300,75035.87,Supermarkets,250.1195666667,cluster_1,1
268,300,83732.91,Supermarkets,279.1097,cluster_1,1
124,400,78448.81,Supermarkets,196.122025,cluster_1,1
293,800,127158.53,Supermarkets,158.9481625,cluster_1,1
242,900,132064.98,Supermarkets,146.7388666667,cluster_1,1
247,500,162219.45,Supermarkets,324.4389,cluster_1,1
5,900,151578.07,Supermarkets,168.4200777778,cluster_1,1
103,900,252228.08,Supermarkets,280.2534222222,cluster_1,1
117,300,41741.82,Supermarkets,139.1394,cluster_1,1
