cod_tienda,ventas_valor_per_store,Channel,revenue_per_sqmeter,Provincia_x,Sectors,Provincia_y,Income,cluster_labels,cluster_id
84,3431.8,Supermarkets,5.7196666667,Segovia,Primary Sector,Segovia,12722,Slow stores,4
85,141841.85,Supermarkets,354.604625,Baleares,touristic,Baleares,12486,For the tourists,2
86,18867.95,Supermarkets,31.4465833333,Area Metropolitana de Barcelona,Metropolis,Barcelona,14676,Smaller Metropolis,5
87,236622.78,Supermarkets,236.62278,Valladolid,Industrial,Valladolid,13490,Traditional Store,3
88,389931.6,Supermarkets,259.9544,Valencia,Industrial,Valencia,12333,For the tourists,2
89,7849.4,Supermarkets,26.1646666667,Girona,touristic,Girona,12865,Slow stores,4
90,391565.33,Hipermarkets,41.6558861702,Cadiz,Industrial,Cadiz,10113,Suburban Stores,0
91,172049.36,Supermarkets,90.5522947368,Murcia,Industrial,Murcia,10574,Suburban Stores,0
92,59172.93,Supermarkets,197.2431,Cantabria,Industrial,Cantabria,12865,Traditional Store,3
93,9114.93,Supermarkets,30.3831,Tarragona,Primary Sector,Tarragona,12491,Slow stores,4
94,102720.49,Supermarkets,205.44098,Area Metropolitana de Barcelona,Metropolis,Barcelona,14676,Smaller Metropolis,5
95,40138.39,Supermarkets,133.7946333333,Granada,Industrial,Granada,10463,Suburban Stores,0
96,1151526.71,Hipermarkets,411.2595392857,Area Metropolitana de Madrid,Metropolis,Madrid,15579,The Socials,1
97,226656.08,Supermarkets,453.31216,Area Metropolitana de Barcelona,Metropolis,Barcelona,14676,The Socials,1
98,76948.27,Supermarkets,153.89654,Madrid,Metropolis,Madrid,15579,Smaller Metropolis,5
99,1694.39,Supermarkets,8.47195,Asturias,Industrial,Asturias,13505,Traditional Store,3
100,757173.17,Supermarkets,420.6517611111,Area Metropolitana de Madrid,Metropolis,Madrid,15579,The Socials,1
101,354598.14,Supermarkets,322.3619454545,Cadiz,Industrial,Cadiz,10113,For the tourists,2
102,562687.47,Supermarkets,244.646726087,Area Metropolitana de Barcelona,Metropolis,Barcelona,14676,Smaller Metropolis,5
103,252228.08,Supermarkets,280.2534222222,Granada,Industrial,Granada,10463,For the tourists,2
104,10562.11,Supermarkets,21.12422,Area Metropolitana de Barcelona,Metropolis,Barcelona,14676,Smaller Metropolis,5
105,30077.45,Supermarkets,60.1549,Area Metropolitana de Barcelona,Metropolis,Barcelona,14676,Smaller Metropolis,5
106,19873.11,Supermarkets,22.0812333333,Caceres,Primary Sector,Caceres,10660,Suburban Stores,0
107,240715.45,Supermarkets,343.8792142857,Vizcaya,Industrial,Vizcaya,15555,The Socials,1
108,867936.6,Supermarkets,482.187,Madrid,Metropolis,Madrid,15579,The Socials,1
109,209711.26,Hipermarkets,25.2664168675,Toledo,Industrial,Toledo,10533,Suburban Stores,0
110,3282015.2,Hipermarkets,303.8902962963,Alicante,touristic,Alicante,14962,The Socials,1
111,31283.38,Supermarkets,156.4169,Caceres,Primary Sector,Caceres,10660,Suburban Stores,0
112,34831.37,Supermarkets,58.0522833333,Cordoba,Industrial,Cordoba,10314,Suburban Stores,0
113,191223.41,Supermarkets,318.7056833333,Cadiz,Industrial,Cadiz,10113,For the tourists,2
114,103605.45,Supermarkets,129.5068125,Girona,touristic,Girona,12865,Slow stores,4
115,6065.71,Supermarkets,30.32855,Asturias,Industrial,Asturias,13505,Traditional Store,3
116,461666.07,Supermarkets,288.54129375,Almeria,Primary Sector,Almeria,9709,Suburban Stores,0
117,41741.82,Supermarkets,139.1394,Sevilla,Industrial,Sevilla,10717,Suburban Stores,0
118,50.4,Supermarkets,0.0315,Murcia,Industrial,Murcia,10574,Suburban Stores,0
119,163462.79,Hipermarkets,20.6914924051,Pontevedra,Industrial,Pontevedra,11881,Traditional Store,3
120,4.8,Supermarkets,0.0096,Valencia,Industrial,Valencia,12333,Traditional Store,3
121,2239188.18,Hipermarkets,251.5941775281,Cadiz,Industrial,Cadiz,10113,Suburban Stores,0
122,13968.83,Supermarkets,46.5627666667,Ourense,Industrial,Ourense,11937,Traditional Store,3
123,4742.6,Supermarkets,7.9043333333,Cantabria,Industrial,Cantabria,12865,Traditional Store,3
124,78448.81,Supermarkets,196.122025,Cantabria,Industrial,Cantabria,12865,Traditional Store,3
125,1427269.16,Hipermarkets,528.6182074074,Area Metropolitana de Madrid,Metropolis,Madrid,15579,The Socials,1
